path	bytes	lines	extension	test_code
charts/ferrum-mesh/examples/production-existing-secrets-values.yaml	1031	34	.yaml	1
charts/ferrum-mesh/templates/alerts-prometheusrule.yaml	5732	101	.yaml	0
charts/ferrum-mesh/templates/ambient-daemonset.yaml	14578	265	.yaml	0
charts/ferrum-mesh/templates/ca-deployment.yaml	2076	49	.yaml	0
charts/ferrum-mesh/templates/control-plane-deployment.yaml	2824	68	.yaml	0
charts/ferrum-mesh/templates/control-plane-rbac.yaml	4191	132	.yaml	0
charts/ferrum-mesh/templates/east-west-gateway-deployment.yaml	2222	60	.yaml	0
charts/ferrum-mesh/templates/injector-deployment.yaml	4133	122	.yaml	0
charts/ferrum-mesh/templates/node-agent-daemonset.yaml	15138	319	.yaml	0
charts/ferrum-mesh/templates/node-agent-rbac.yaml	1044	38	.yaml	0
charts/ferrum-mesh/templates/observability-dashboards-configmap.yaml	1600	36	.yaml	0
charts/ferrum-mesh/templates/serviceaccount.yaml	206	8	.yaml	0
charts/ferrum-mesh/templates/validation.yaml	59	1	.yaml	0
charts/ferrum-mesh/values.schema.json	21277	765	.json	0
charts/ferrum-mesh/values.yaml	17536	456	.yaml	0
comparison/README.md	15945	248	.md	0
comparison/configs/envoy/envoy_e2e_tls.yaml	2455	68	.yaml	0
comparison/configs/envoy/envoy_http.yaml	1646	50	.yaml	0
comparison/configs/envoy/envoy_https.yaml	2115	60	.yaml	0
comparison/configs/envoy/envoy_key_auth.yaml	3034	76	.yaml	0
comparison/configs/ferrum_comparison.yaml	1011	39	.yaml	0
comparison/configs/ferrum_comparison_e2e_tls.yaml	1395	45	.yaml	0
comparison/configs/ferrum_comparison_key_auth.yaml	1437	54	.yaml	0
comparison/configs/kong.yaml	1007	44	.yaml	0
comparison/configs/kong_e2e_tls.yaml	1327	48	.yaml	0
comparison/configs/kong_key_auth.yaml	1159	54	.yaml	0
comparison/configs/krakend/krakend_e2e_tls.json	1119	48	.json	0
comparison/configs/krakend/krakend_http.json	929	41	.json	0
comparison/configs/krakend/krakend_https.json	1044	45	.json	0
comparison/configs/tyk/apps/echo_api.json	425	22	.json	0
comparison/configs/tyk/apps_e2e_tls/echo_api.json	509	25	.json	0
comparison/configs/tyk/apps_key_auth/echo_auth_api.json	504	25	.json	0
comparison/configs/tyk/tyk.conf	852	34	.conf	0
comparison/configs/tyk/tyk_tls.conf	1075	44	.conf	0
comparison/run_comparison.sh	51410	1390	.sh	0
comparison/scripts/generate_comparison_report.py	24502	591	.py	0
custom_plugins/examples/README.md	1481	38	.md	1
custom_plugins/examples/example_audit_plugin.rs	41315	1014	.rs	1
custom_plugins/examples/example_plugin.rs	12053	288	.rs	1
custom_plugins/mod.rs	2037	51	.rs	0
deny.toml	6902	119	.toml	0
docker-compose.tls-test.yml	1463	59	.yml	0
docker-compose.yml	10979	289	.yml	0
docs/admin_api.md	92988	1280	.md	0
docs/admin_backup_restore.md	19880	276	.md	0
docs/admin_batch_api.md	13628	503	.md	0
docs/admin_metrics.md	22905	393	.md	0
docs/admin_read_only_mode.md	7991	211	.md	0
docs/ai_prompt_compressor.md	16625	286	.md	0
docs/api_specs.md	38303	652	.md	0
docs/backend_mtls.md	19399	334	.md	0
